,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_since_years,Success_rate,mean_price,host_in_sfo,licensed,top_amenities_count,host_verification_count
3560,0,100,100,f,1.0,t,t,Group1,Entire guest suite,Entire home/apt,4,bath group1,1.0,3.0,4,1125,2.0,12.0,1125.0,1125.0,5.4,1125.0,84,44,3,4.82,4.8,5.0,4.9,4.96,t,1,1,0,0,2.85,9.8,0.6131818181818182,157.7,1.0,1.0,4,6
3561,0,100,67,f,23.0,t,t,Group1,Entire guest suite,Entire home/apt,2,bath group1,1.0,1.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,13,6,0,4.69,4.46,4.92,4.92,5.0,f,12,4,8,0,0.41,5.5,0.6916666666666667,36.0,1.0,0.0,0,7
3562,0,100,100,t,1.0,t,t,Group1,Entire guest suite,Entire home/apt,4,bath group1,3.0,3.0,2,1124,2.0,2.0,1125.0,1125.0,2.0,1125.0,96,31,3,4.66,4.89,4.97,4.88,4.88,f,1,1,0,0,2.81,5.6,0.3151515151515152,235.0,1.0,1.0,2,5
3563,0,100,67,f,23.0,t,t,Group1,Private room in residential home,Private room,1,bath group4,1.0,1.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,1,0,0,5.0,5.0,5.0,5.0,5.0,f,12,4,8,0,0.06,5.5,0.7416666666666667,33.1,1.0,0.0,1,7
3564,0,100,67,f,23.0,t,t,Group1,Private room in residential home,Private room,1,bath group4,1.0,1.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,4,3,0,4.75,4.5,5.0,4.25,4.5,f,12,4,8,0,0.12,5.5,0.725,34.2,1.0,0.0,1,7
3565,0,100,67,f,23.0,t,t,Group1,Entire guest suite,Entire home/apt,2,bath group1,1.0,1.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,2,2,0,5.0,5.0,5.0,5.0,5.0,f,12,4,8,0,0.61,5.5,0.7,43.4,1.0,0.0,0,7
3566,0,100,67,f,23.0,t,t,Group1,Private room in residential home,Private room,1,bath group4,1.0,1.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,3,0,0,4.67,3.33,5.0,5.0,4.67,f,12,4,8,0,0.09,5.5,1.0,32.9,1.0,0.0,1,7
3567,0,94,84,f,1.0,t,f,Group1,Entire rental unit,Entire home/apt,3,bath group1,1.0,2.0,30,180,30.0,30.0,180.0,180.0,30.0,180.0,0,0,0,0.0,0.0,0.0,0.0,0.0,f,1,1,0,0,0.0,3.0,0.16909090909090907,125.0,1.0,0.0,3,2
3568,0,100,67,f,23.0,t,t,Group1,other,Entire home/apt,1,bath group1,1.0,2.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,7,0,0,4.57,4.86,4.57,4.71,4.57,f,12,4,8,0,0.2,5.5,0.9916666666666667,33.0,1.0,1.0,0,7
3569,0,100,100,t,3.0,t,t,Group1,Entire rental unit,Entire home/apt,4,bath group1,1.0,2.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,0.0,0.0,0.0,0.0,0.0,f,3,3,0,0,0.0,9.4,0.0009090909090909705,256.1,1.0,0.0,2,5
3570,0,100,100,t,3.0,t,t,Group1,Entire condominium (condo),Entire home/apt,6,bath group1,2.0,2.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,2,1,0,5.0,5.0,5.0,5.0,5.0,f,2,2,0,0,0.09,6.8,0.7727272727272727,283.0,1.0,0.0,3,4
3571,2,100,0,f,1.0,t,t,Group1,Entire residential home,Entire home/apt,6,bath group1,3.0,3.0,14,90,14.0,14.0,1125.0,1125.0,14.0,1125.0,2,0,0,5.0,3.5,5.0,5.0,5.0,f,1,1,0,0,0.07,9.0,0.9236363636363636,350.0,1.0,1.0,2,6
3572,0,100,100,t,1.0,t,t,Group1,Entire rental unit,Entire home/apt,4,bath group1,2.0,2.0,30,180,30.0,30.0,1125.0,1125.0,30.0,1125.0,36,3,0,4.97,5.0,5.0,4.97,4.94,t,1,1,0,0,1.05,5.5,0.7107575757575757,177.5,1.0,0.0,2,8
3573,1,94,84,t,1.0,t,t,Group1,Entire rental unit,Entire home/apt,2,bath group1,1.0,1.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,3,0,0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.09,8.1,0.016666666666666607,175.0,0.0,0.0,2,5
3574,1,100,83,f,7.0,t,t,Group1,Private room in residential home,Private room,1,bath group1,3.0,3.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,2,2,0,5.0,5.0,5.0,5.0,5.0,f,6,4,2,0,0.26,8.1,0.09560606060606058,60.0,1.0,0.0,1,6
3575,0,100,100,t,141.0,t,t,Group1,Entire serviced apartment,Entire home/apt,2,bath group1,1.0,1.0,2,7,2.0,4.0,7.0,7.0,2.0,7.0,4,0,0,5.0,5.0,5.0,5.0,5.0,t,57,57,0,0,0.12,5.7,1.0,64.4,0.0,0.0,2,8
3576,2,100,100,t,2.0,t,t,Group1,other,Entire home/apt,2,bath group1,1.0,1.0,3,28,3.0,3.0,1125.0,1125.0,3.0,1125.0,53,1,1,4.94,5.0,5.0,5.0,4.94,f,1,1,0,0,1.55,9.1,0.95,126.0,1.0,1.0,2,5
3577,0,100,69,t,2.0,t,t,Group1,Private room in residential home,Private room,1,bath group4,1.0,1.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,7,2,1,5.0,4.86,5.0,5.0,5.0,f,2,0,2,0,0.22,6.3,0.39409090909090905,40.8,1.0,0.0,1,6
3578,0,100,96,f,56.0,t,t,Group1,other,Private room,6,bath group1,2.0,3.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,5,0,0,4.8,4.6,5.0,5.0,5.0,t,3,2,1,0,0.15,5.3,1.0,1204.2,1.0,0.0,3,7
3579,0,100,99,t,4.0,t,t,Group1,Private room in residential home,Private room,2,bath group3,1.0,1.0,1,14,1.0,1.0,14.0,14.0,1.0,14.0,166,67,6,4.77,4.65,4.82,4.89,4.86,f,5,0,5,0,4.81,4.7,0.4607575757575758,122.7,1.0,1.0,2,3
3580,0,100,68,t,129.0,t,t,Group1,Room in hotel,Private room,4,bath group2,1.0,2.0,2,10,2.0,2.0,10.0,10.0,2.0,10.0,32,2,0,4.91,4.97,4.97,4.94,5.0,f,38,5,33,0,0.96,5.8,0.95,199.3,0.0,0.0,3,5
3581,0,100,68,t,129.0,t,t,Group1,Entire serviced apartment,Entire home/apt,6,bath group1,2.0,3.0,3,10,3.0,3.0,10.0,10.0,3.0,10.0,6,1,0,4.5,4.67,4.83,5.0,5.0,f,38,5,33,0,0.21,5.8,0.95,194.7,0.0,0.0,3,5
3582,0,96,94,f,1.0,t,f,Group1,Entire guest suite,Entire home/apt,5,bath group1,1.0,2.0,2,28,1.0,2.0,28.0,28.0,1.4,28.0,232,77,5,4.52,4.66,4.76,4.71,4.7,f,1,1,0,0,6.75,8.3,0.5587878787878788,93.3,1.0,1.0,2,5
3583,2,90,76,f,25.0,t,f,Group1,Entire rental unit,Entire home/apt,4,bath group1,2.0,2.0,30,182,30.0,30.0,182.0,182.0,30.0,182.0,0,0,0,0.0,0.0,0.0,0.0,0.0,t,24,24,0,0,0.0,3.9,0.6925757575757576,116.6,0.0,0.0,1,2
3584,2,90,76,f,25.0,t,f,Group1,Entire rental unit,Entire home/apt,5,bath group1,2.0,3.0,30,182,30.0,30.0,182.0,182.0,30.0,182.0,0,0,0,0.0,0.0,0.0,0.0,0.0,t,24,24,0,0,0.0,3.9,0.3933333333333333,121.9,0.0,0.0,2,2
3585,1,100,93,f,92.0,t,t,Group1,Entire rental unit,Entire home/apt,3,bath group1,1.0,2.0,30,150,30.0,30.0,150.0,150.0,30.0,150.0,1,0,0,4.0,4.0,4.0,4.0,3.0,f,146,145,1,0,0.03,9.1,0.5440909090909091,108.0,0.0,0.0,1,8
3586,1,100,93,f,92.0,t,t,Group1,Entire rental unit,Entire home/apt,5,bath group1,2.0,2.0,30,150,30.0,30.0,150.0,150.0,30.0,150.0,2,1,0,5.0,3.0,4.5,5.0,4.5,f,146,145,1,0,0.07,9.1,0.5774242424242424,130.0,0.0,0.0,1,8
3587,0,100,68,t,129.0,t,t,Group1,Room in hotel,Private room,4,bath group2,1.0,2.0,1,1124,1.0,1.0,1124.0,1124.0,1.0,1124.0,1,0,0,5.0,4.0,5.0,5.0,4.0,f,38,5,33,0,0.03,5.8,1.0,199.0,0.0,0.0,3,5
3588,0,100,99,f,11.0,t,t,Group1,Room in boutique hotel,Hotel room,1,bath group3,1.0,1.0,1,30,1.0,1.0,1125.0,1125.0,1.0,1125.0,25,10,1,4.6,4.6,4.8,4.6,4.24,t,11,0,7,0,0.77,5.1,0.33333333333333337,70.1,1.0,0.0,2,7
3589,0,100,68,t,129.0,t,t,Group1,Room in boutique hotel,Private room,4,bath group2,1.0,2.0,2,15,2.0,2.0,15.0,15.0,2.0,15.0,27,2,0,5.0,4.96,4.89,5.0,4.93,f,38,5,33,0,0.81,5.8,0.9583333333333334,158.3,0.0,0.0,3,5
3590,2,100,91,t,1.0,t,t,Group1,Entire guest suite,Entire home/apt,2,bath group1,1.0,1.0,2,10,2.0,2.0,10.0,10.0,2.0,10.0,31,6,1,5.0,4.97,5.0,5.0,4.97,f,2,2,0,0,0.97,9.5,0.9,209.0,1.0,1.0,3,5
3591,0,100,98,f,2433.0,t,t,Group1,Entire rental unit,Entire home/apt,4,bath group1,2.0,2.0,30,1125,31.0,730.0,1125.0,1125.0,703.6,1125.0,0,0,0,0.0,0.0,0.0,0.0,0.0,t,169,169,0,0,0.0,5.1,0.21666666666666667,247.7,0.0,0.0,3,9
3592,1,100,78,t,19.0,t,t,Group1,Entire residential home,Entire home/apt,5,bath group1,3.0,3.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,21,1,0,5.0,4.95,4.86,5.0,4.86,f,16,16,0,0,0.63,10.4,0.9583333333333334,203.0,1.0,0.0,3,6
3593,1,100,78,t,19.0,t,t,Group1,Entire rental unit,Entire home/apt,2,bath group1,1.0,1.0,4,90,4.0,4.0,90.0,90.0,4.0,90.0,31,0,0,5.0,4.94,4.97,5.0,4.9,f,16,16,0,0,0.92,10.4,1.0,129.0,1.0,1.0,2,6
3594,0,100,79,f,6.0,t,t,Group2,Entire rental unit,Entire home/apt,2,bath group1,1.0,1.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,9,2,0,5.0,5.0,4.89,5.0,4.78,f,7,4,3,0,0.32,4.3,0.29999999999999993,85.0,1.0,0.0,2,5
3595,0,100,68,t,129.0,t,t,Group1,Room in hotel,Private room,4,bath group2,1.0,2.0,3,10,3.0,3.0,10.0,10.0,3.0,10.0,7,0,0,5.0,4.86,5.0,5.0,5.0,f,38,5,33,0,0.21,5.8,0.5690909090909091,191.2,0.0,0.0,3,5
3596,0,95,100,f,8.0,t,t,Group1,Private room in rental unit,Private room,1,bath group3,1.0,1.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,8,2,0,4.0,4.25,4.38,4.38,4.63,t,7,0,7,0,0.24,4.5,0.8660606060606061,30.9,1.0,0.0,1,6
3597,0,100,100,t,2.0,t,t,Group1,Private room in rental unit,Private room,2,bath group2,1.0,1.0,1,60,1.0,1.0,1125.0,1125.0,1.0,1125.0,33,10,0,4.85,4.97,4.73,4.79,4.76,t,2,1,1,0,0.99,8.1,0.41666666666666663,169.3,1.0,1.0,2,5
3598,0,100,68,t,129.0,t,t,Group1,Room in hotel,Private room,4,bath group2,1.0,2.0,2,13,2.0,2.0,13.0,13.0,2.0,13.0,2,0,0,5.0,5.0,5.0,5.0,5.0,f,38,5,33,0,0.06,5.8,1.0,199.0,0.0,0.0,3,5
